evidence_id,property_id,source_id,claim_type,claim_value,confidence_contribution,evidence_note
ev-minneapolis-assessing-2023-parcel-0102824240132,parcel-0102824240132,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824240132,parcel-0102824240132,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824240132,parcel-0102824240132,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824240132,parcel-0102824240132,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824310092,parcel-0102824310092,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102824310092,parcel-0102824310092,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824310092,parcel-0102824310092,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824310092,parcel-0102824310092,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824310092,parcel-0102824310092,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824320190,parcel-0102824320190,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102824320190,parcel-0102824320190,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824320190,parcel-0102824320190,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824320190,parcel-0102824320190,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824320190,parcel-0102824320190,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824340175,parcel-0102824340175,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102824340175,parcel-0102824340175,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLER S OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824340175,parcel-0102824340175,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLER S OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824340175,parcel-0102824340175,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824340175,parcel-0102824340175,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824410110,parcel-0102824410110,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102824410110,parcel-0102824410110,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824410110,parcel-0102824410110,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824410110,parcel-0102824410110,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824410110,parcel-0102824410110,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824420142,parcel-0102824420142,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102824420142,parcel-0102824420142,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824420142,parcel-0102824420142,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824420142,parcel-0102824420142,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824420142,parcel-0102824420142,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824420143,parcel-0102824420143,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102824420143,parcel-0102824420143,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824420143,parcel-0102824420143,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824420143,parcel-0102824420143,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824420143,parcel-0102824420143,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824420181,parcel-0102824420181,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102824420181,parcel-0102824420181,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824420181,parcel-0102824420181,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824420181,parcel-0102824420181,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824420181,parcel-0102824420181,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824420191,parcel-0102824420191,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102824420191,parcel-0102824420191,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824420191,parcel-0102824420191,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824420191,parcel-0102824420191,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824420191,parcel-0102824420191,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824430004,parcel-0102824430004,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102824430004,parcel-0102824430004,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824430004,parcel-0102824430004,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824430004,parcel-0102824430004,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824430004,parcel-0102824430004,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824430049,parcel-0102824430049,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102824430049,parcel-0102824430049,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102824430049,parcel-0102824430049,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102824430049,parcel-0102824430049,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102824430049,parcel-0102824430049,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102824440104,parcel-0102824440104,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTH MPLS PUBLIC HOUSING AUTH,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-mpha-overview-parcel-0102824440104,parcel-0102824440104,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102924110108,parcel-0102924110108,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102924110108,parcel-0102924110108,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MPLS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102924110108,parcel-0102924110108,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MPLS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102924110108,parcel-0102924110108,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102924110108,parcel-0102924110108,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102924110143,parcel-0102924110143,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102924110143,parcel-0102924110143,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102924110143,parcel-0102924110143,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102924110143,parcel-0102924110143,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102924110143,parcel-0102924110143,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102924120018,parcel-0102924120018,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
ev-minneapolis-assessing-2023-parcel-0102924120018,parcel-0102924120018,minneapolis_assessing_parcels_2023,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2023 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2024-parcel-0102924120018,parcel-0102924120018,minneapolis_assessing_parcels_2024,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES ATTN COMPTROLLERS OFFICE 1001 WASHINGTON AVE N MINNEAPOLIS MN 55401,0.2,Minneapolis assessing 2024 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-minneapolis-assessing-2025-parcel-0102924120018,parcel-0102924120018,minneapolis_assessing_parcels_2025,owner_taxpayer_match,MPLS PUBLIC HOUSING AUTHORITY MPHA,0.55,Minneapolis assessing 2025 records show a public housing owner or taxpayer name match and a small residential property classification.
ev-mpha-overview-parcel-0102924120018,parcel-0102924120018,mpha_properties_overview,portfolio_context,CHR single-family and multiplex homes,0.05,"MPHA's public properties page describes scattered-site homes as CHR single-family and multiplex homes, nearly 800 units."
ev-metrogis-owner-taxpayer-parcel-0102924210078,parcel-0102924210078,metrogis_hennepin_minneapolis_parcels_current,owner_taxpayer_match,COMMUNITY HOUSING RESOURCES COMMUNITY HOUSING RESOURCES,0.65,"MetroGIS/Hennepin parcel owner or taxpayer name matches MPHA, Minneapolis Public Housing Authority, or Community Housing Resources."
